ligand,best_affinity
ligand_1004.pdbqt,-3.15
ligand_1045.pdbqt,-3.159
ligand_1046.pdbqt,-4.159
ligand_10607.pdbqt,-7.96
ligand_1066.pdbqt,-5.347
ligand_1102.pdbqt,-4.328
ligand_1110.pdbqt,-4.058
ligand_1118.pdbqt,-3.062
ligand_11333.pdbqt,-6.697
ligand_1176.pdbqt,-2.846
ligand_119.pdbqt,-3.891
ligand_12035.pdbqt,-4.241
ligand_126941.pdbqt,-8.995
ligand_1349907.pdbqt,-3.338
ligand_135398513.pdbqt,-5.888
ligand_135398658.pdbqt,-8.866
ligand_135398737.pdbqt,-9.112
ligand_135401907.pdbqt,-4.926
ligand_14052.pdbqt,-4.916
ligand_1548887.pdbqt,-8.433
ligand_1548943.pdbqt,-7.19
ligand_15541.pdbqt,-6.943
ligand_1614.pdbqt,-5.99
ligand_1615.pdbqt,-6.13
ligand_16362.pdbqt,-10.093
ligand_1645.pdbqt,-5.22
ligand_1646.pdbqt,-3.985
ligand_1727.pdbqt,-4.008
ligand_176.pdbqt,-2.839
ligand_1775.pdbqt,-7.852
ligand_18381.pdbqt,-7.889
ligand_187.pdbqt,-4.155
ligand_1935.pdbqt,-6.856
ligand_1978.pdbqt,-6.884
ligand_1981.pdbqt,-8.378
ligand_1983.pdbqt,-5.208
ligand_1986.pdbqt,-5.906
ligand_1990.pdbqt,-3.337
ligand_2082.pdbqt,-6.439
ligand_20824.pdbqt,-8.115
ligand_2083.pdbqt,-6.338
ligand_2123.pdbqt,-5.415
ligand_2130.pdbqt,-5.963
ligand_2132.pdbqt,-6.794
ligand_2145.pdbqt,-6.757
ligand_2148.pdbqt,-5.924
ligand_2153.pdbqt,-5.608
ligand_2157.pdbqt,-8.077
ligand_2160.pdbqt,-7.768
ligand_2170.pdbqt,-8.558
ligand_2196.pdbqt,-6.783
ligand_2200.pdbqt,-7.263
ligand_2206.pdbqt,-6.114
ligand_222.pdbqt,-1.41
ligand_2244.pdbqt,-5.969
ligand_2249.pdbqt,-7.012
ligand_2265.pdbqt,-6.821
ligand_2266.pdbqt,-5.235
ligand_2284.pdbqt,-6.392
ligand_2315.pdbqt,-8.747
ligand_2318.pdbqt,-8.361
ligand_2327.pdbqt,-6.488
ligand_2345.pdbqt,-6.8
ligand_2351.pdbqt,-8.018
ligand_2353.pdbqt,-9.039
ligand_2355.pdbqt,-6.606
ligand_2365.pdbqt,-3.14
ligand_2366.pdbqt,-4.656
ligand_237.pdbqt,-7.621
ligand_2370.pdbqt,-4.413
ligand_2391.pdbqt,-9.057
ligand_2446.pdbqt,-6.154
ligand_2471.pdbqt,-7.603
ligand_2477.pdbqt,-8.534
ligand_2478.pdbqt,-5.054
ligand_248.pdbqt,-3.61
ligand_24841.pdbqt,-0.881
ligand_2519.pdbqt,-5.755
ligand_2520.pdbqt,-7.743
ligand_2551.pdbqt,-4.071
ligand_2554.pdbqt,-7.662
ligand_2562.pdbqt,-6.928
ligand_2564.pdbqt,-6.459
ligand_2576.pdbqt,-5.669
ligand_2578.pdbqt,-4.574
ligand_260.pdbqt,-0.879
ligand_2662.pdbqt,-9.031
ligand_26879.pdbqt,-6.064
ligand_2708.pdbqt,-6.401
ligand_2712.pdbqt,-8.082
ligand_2717.pdbqt,-6.704
ligand_2719.pdbqt,-6.976
ligand_2720.pdbqt,-6.995
ligand_2722.pdbqt,-6.075
ligand_2723.pdbqt,-5.23
ligand_2723601.pdbqt,-4.998
ligand_2725.pdbqt,-6.853
ligand_2726.pdbqt,-6.988
ligand_2727.pdbqt,-6.471
ligand_2732.pdbqt,-8.784
